transaction_id,timestamp,customer_id,account_id,amount,currency,transaction_type,channel,country_of_residence,counterparty_account_id,counterparty_country,customer_segment,kyc_risk_level,is_pep,on_sanctions_list,model_risk_score,tx_count_24h,total_amount_24h,tx_count_7d,total_amount_7d,unique_counterparties_30d
T000000015,2025-11-21T19:36:52Z,C000004,AC00000003,2326,EUR,CARD_POS,POS,PL,CP00000023,US,RETAIL_STANDARD,MEDIUM,False,False,0.02,3,6978,4,9628,2
T000000016,2025-11-26T05:17:47Z,C000002,AC00000001,39356,USD,SEPA_CREDIT,INTERNET,PL,CP00000006,AE,SME,HIGH,False,False,0.71,0,74483,1,156836,4
T000000017,2025-11-17T17:23:44Z,C000006,AC00000006,1671,EUR,SEPA_CREDIT,MOBILE,PL,CP00000016,NL,RETAIL_STANDARD,MEDIUM,False,False,0.16,1,1671,6,3828,4
T000000018,2025-11-12T12:37:34Z,C000005,AC00000002,60745,USD,SEPA_CREDIT,BRANCH,PL,CP00000017,DE,SME,HIGH,False,False,0.46,0,140861,2,271506,8
T000000019,2025-11-17T14:09:41Z,C000001,AC00000006,20465,USD,SEPA_CREDIT,BRANCH,PL,CP00000010,NL,HNWI,HIGH,True,False,0.64,4,24775,9,49772,13
T000000020,2025-11-17T11:33:50Z,C000001,AC00000003,1859,PLN,INTERNAL,MOBILE,PL,CP00000017,DE,RETAIL_STANDARD,MEDIUM,False,False,0.15,3,5577,7,5684,1
T000000021,2025-11-13T11:28:54Z,C000005,AC00000006,2843,PLN,SEPA_CREDIT,POS,PL,CP00000023,DE,RETAIL_STANDARD,LOW,False,False,0.22,1,2843,6,3427,5
T000000022,2025-12-04T16:24:18Z,C000007,AC00000001,1043,PLN,CASH_IN,BRANCH,PL,CP00000022,AE,SME,MEDIUM,False,False,0.9,35,42636,102,223540,5
T000000023,2025-12-06T02:43:04Z,C000006,AC00000005,2753,PLN,SEPA_CREDIT,INTERNET,PL,CP00000015,PL,RETAIL_PREMIUM,MEDIUM,False,False,0.24,1,2753,4,4560,1
T000000024,2025-11-17T16:27:37Z,C000005,AC00000001,1465,PLN,CARD_POS,INTERNET,PL,CP00000039,GB,RETAIL_STANDARD,MEDIUM,False,False,0.02,2,2930,5,6482,5
T000000025,2025-11-26T05:33:47Z,C000004,AC00000006,1402,EUR,INTERNAL,INTERNET,PL,CP00000005,US,RETAIL_PREMIUM,MEDIUM,False,False,0.11,2,2804,7,7559,3
T000000026,2025-11-13T16:56:36Z,C000007,AC00000007,2571,USD,SEPA_CREDIT,INTERNET,PL,CP00000048,DE,RETAIL_STANDARD,MEDIUM,False,False,0.2,2,5142,5,10776,1
T000000027,2025-11-20T02:53:18Z,C000008,AC00000008,77021,USD,SWIFT_OUT,INTERNET,PL,CP00000014,UA,RETAIL_PREMIUM,MEDIUM,False,False,0.48,1,153139,3,348112,6
T000000028,2025-11-25T08:12:52Z,C000002,AC00000008,846,EUR,INTERNAL,POS,PL,CP00000041,UA,RETAIL_STANDARD,LOW,False,False,0.2,3,2538,6,4566,2
T000000029,2025-12-05T04:49:01Z,C000008,AC00000001,547,USD,INTERNAL,POS,PL,CP00000016,AE,RETAIL_PREMIUM,MEDIUM,False,False,0.16,3,1641,4,4271,5
T000000030,2025-11-26T01:29:45Z,C000009,AC00000008,4388,PLN,CARD_POS,INTERNET,PL,CP00000048,AE,RETAIL_STANDARD,HIGH,False,False,0.56,34,134821,59,609335,13
T000000031,2025-11-16T19:51:06Z,C000006,AC00000006,1735,USD,SEPA_CREDIT,INTERNET,PL,CP00000006,DE,RETAIL_PREMIUM,HIGH,False,False,0.55,20,33076,39,136248,7
T000000032,2025-11-23T00:08:21Z,C000010,AC00000001,74,USD,INTERNAL,POS,PL,CP00000049,GB,RETAIL_STANDARD,MEDIUM,False,False,0.06,2,148,4,371,4
T000000033,2025-11-10T00:07:00Z,C000006,AC00000011,726,USD,CARD_POS,INTERNET,PL,CP00000052,US,RETAIL_STANDARD,LOW,False,False,0.16,3,2178,4,6450,5
T000000034,2025-11-23T16:34:31Z,C000001,AC00000005,1912,EUR,SEPA_CREDIT,INTERNET,PL,CP00000042,DE,RETAIL_PREMIUM,LOW,False,False,0.12,2,3824,4,9645,4
T000000035,2025-11-10T22:42:02Z,C000004,AC00000011,754,PLN,INTERNAL,INTERNET,PL,CP00000006,AE,RETAIL_STANDARD,MEDIUM,False,False,0.58,21,13929,32,53821,12
T000000036,2025-11-20T16:04:04Z,C000010,AC00000010,720,USD,INTERNAL,POS,PL,CP00000015,AE,RETAIL_PREMIUM,MEDIUM,False,False,0.24,2,1440,2,3106,3
T000000037,2025-11-28T08:47:45Z,C000004,AC00000002,2852,USD,INTERNAL,INTERNET,PL,CP00000039,AE,RETAIL_PREMIUM,LOW,False,False,0.13,0,2852,4,7316,3
T000000038,2025-12-07T01:15:09Z,C000008,AC00000002,1933,EUR,INTERNAL,INTERNET,PL,CP00000047,US,RETAIL_PREMIUM,MEDIUM,False,False,0.11,1,1933,4,2613,5
T000000039,2025-11-17T21:41:37Z,C000014,AC00000004,2497,PLN,SEPA_CREDIT,INTERNET,PL,CP00000036,GB,RETAIL_STANDARD,HIGH,False,False,0.43,35,89836,87,281812,5
T000000040,2025-11-19T20:08:27Z,C000010,AC00000012,4732,EUR,INTERNAL,INTERNET,PL,CP00000072,PL,RETAIL_PREMIUM,HIGH,False,False,0.78,18,71057,74,228752,22
T000000041,2025-11-17T00:40:57Z,C000012,AC00000004,1988,EUR,SEPA_CREDIT,INTERNET,PL,CP00000075,NL,RETAIL_PREMIUM,MEDIUM,False,False,0.08,2,3976,5,11901,5
T000000042,2025-12-02T16:58:14Z,C000006,AC00000002,2876,USD,SEPA_CREDIT,POS,PL,CP00000069,AE,RETAIL_PREMIUM,LOW,False,False,0.21,1,2876,2,4120,4
T000000043,2025-11-20T16:29:31Z,C000005,AC00000001,1173,USD,INTERNAL,INTERNET,PL,CP00000069,DE,RETAIL_STANDARD,LOW,False,False,0.15,0,1173,0,2471,2
T000000044,2025-11-23T22:21:49Z,C000003,AC00000001,317,EUR,CARD_POS,MOBILE,PL,CP00000062,PL,RETAIL_PREMIUM,LOW,False,False,0.25,3,951,6,1091,1
T000000045,2025-12-04T01:06:40Z,C000008,AC00000013,2460,EUR,INTERNAL,POS,PL,CP00000057,NL,RETAIL_STANDARD,LOW,False,False,0.16,3,7380,5,15772,1
T000000046,2025-11-11T15:40:37Z,C000008,AC00000006,60,USD,SEPA_CREDIT,MOBILE,PL,CP00000010,DE,RETAIL_STANDARD,MEDIUM,False,False,0.18,3,180,6,428,4
T000000047,2025-11-23T12:33:01Z,C000008,AC00000009,2120,USD,INTERNAL,MOBILE,PL,CP00000076,US,RETAIL_STANDARD,MEDIUM,False,False,0.78,33,59179,57,233337,13
T000000048,2025-12-06T06:40:59Z,C000010,AC00000015,54857,PLN,SWIFT_OUT,INTERNET,PL,CP00000060,US,RETAIL_PREMIUM,HIGH,False,False,0.41,3,132425,7,305898,8
T000000049,2025-12-01T06:54:04Z,C000001,AC00000009,767,USD,CARD_POS,POS,PL,CP00000006,AE,RETAIL_PREMIUM,MEDIUM,False,False,0.24,3,2301,7,5299,3
T000000050,2025-11-22T22:05:39Z,C000011,AC00000004,2891,PLN,INTERNAL,MOBILE,PL,CP00000043,GB,RETAIL_PREMIUM,LOW,False,False,0.09,3,8673,5,20166,4
T000000051,2025-12-04T00:40:28Z,C000017,AC00000001,1742,USD,SEPA_CREDIT,POS,PL,CP00000070,GB,RETAIL_PREMIUM,LOW,False,False,0.06,0,1742,1,3548,5
T000000052,2025-12-08T20:26:44Z,C000015,AC00000016,2543,PLN,CARD_POS,POS,PL,CP00000004,US,RETAIL_PREMIUM,LOW,False,False,0.06,1,2543,6,3348,5
T000000053,2025-11-13T02:45:34Z,C000004,AC00000005,4668,EUR,SEPA_CREDIT,MOBILE,PL,CP00000092,NL,RETAIL_PREMIUM,MEDIUM,False,False,0.85,23,103734,63,512522,12
T000000054,2025-12-07T14:55:44Z,C000003,AC00000009,2129,EUR,INTERNAL,POS,PL,CP00000044,AE,RETAIL_PREMIUM,LOW,False,False,0.12,2,4258,2,6666,3
T000000055,2025-11-20T06:03:12Z,C000018,AC00000013,822,EUR,CARD_POS,INTERNET,PL,CP00000042,AE,RETAIL_PREMIUM,MEDIUM,False,False,0.1,1,822,5,1451,4
T000000056,2025-12-06T09:41:53Z,C000005,AC00000016,92356,PLN,SWIFT_OUT,INTERNET,PL,CP00000017,UA,RETAIL_PREMIUM,MEDIUM,False,False,0.83,2,212839,5,351092,8
T000000057,2025-11-29T00:25:50Z,C000003,AC00000011,1606,USD,INTERNAL,MOBILE,PL,CP00000110,UA,RETAIL_STANDARD,LOW,False,False,0.16,2,3212,7,7829,4
T000000058,2025-11-16T13:14:58Z,C000014,AC00000004,8586,USD,SEPA_CREDIT,INTERNET,PL,CP00000091,AE,HNWI,HIGH,True,False,0.74,3,10014,7,37638,3
T000000059,2025-11-26T00:57:40Z,C000019,AC00000006,2546,PLN,INTERNAL,MOBILE,PL,CP00000023,PL,RETAIL_STANDARD,MEDIUM,False,False,0.16,3,7638,7,18073,4
T000000060,2025-11-30T10:18:03Z,C000015,AC00000010,352,USD,INTERNAL,INTERNET,PL,CP00000070,DE,RETAIL_PREMIUM,MEDIUM,False,False,0.21,3,1056,5,3141,3
T000000061,2025-11-22T03:33:07Z,C000004,AC00000008,2404,EUR,SEPA_CREDIT,MOBILE,PL,CP00000074,NL,RETAIL_STANDARD,MEDIUM,False,False,0.21,2,4808,7,7646,4
T000000062,2025-12-03T18:20:14Z,C000020,AC00000012,42690,PLN,SWIFT_OUT,INTERNET,PL,CP00000082,DE,HNWI,HIGH,True,False,0.61,2,71623,12,229346,5
T000000063,2025-11-13T13:14:25Z,C000010,AC00000011,872,USD,INTERNAL,POS,PL,CP00000054,DE,RETAIL_PREMIUM,LOW,False,False,0.07,1,872,5,2400,3
T000000064,2025-11-24T20:42:16Z,C000011,AC00000004,6678,EUR,CARD_POS,INTERNET,PL,CP00000020,DE,RETAIL_STANDARD,HIGH,False,False,0.31,20,152800,76,614747,17
T000000065,2025-11-23T23:22:43Z,C000022,AC00000022,2665,EUR,CARD_POS,POS,PL,CP00000098,AE,RETAIL_PREMIUM,LOW,False,False,0.17,2,5330,2,12523,4
T000000066,2025-11-23T20:57:40Z,C000021,AC00000014,19877,PLN,SWIFT_IN,BRANCH,PL,CP00000036,PL,RETAIL_PREMIUM,HIGH,False,False,0.8,2,49571,2,81583,3
T000000067,2025-11-29T13:33:50Z,C000016,AC00000020,47238,EUR,SWIFT_OUT,BRANCH,PL,CP00000072,PL,HNWI,HIGH,True,False,0.75,2,57501,9,222896,8
T000000068,2025-11-13T02:30:52Z,C000003,AC00000022,1416,PLN,CARD_POS,POS,PL,CP00000006,PL,RETAIL_STANDARD,LOW,False,False,0.21,1,1416,2,3644,2
T000000069,2025-12-03T15:19:52Z,C000020,AC00000001,2262,EUR,CARD_POS,MOBILE,PL,CP00000038,DE,RETAIL_PREMIUM,LOW,False,False,0.15,2,4524,3,5518,1
T000000070,2025-11-17T11:52:00Z,C000005,AC00000024,310,EUR,INTERNAL,MOBILE,PL,CP00000135,PL,RETAIL_PREMIUM,LOW,False,False,0.24,3,930,6,2377,5
T000000071,2025-12-05T09:56:55Z,C000017,AC00000010,2011,EUR,INTERNAL,INTERNET,PL,CP00000008,PL,RETAIL_STANDARD,LOW,False,False,0.09,3,6033,6,14311,4
T000000072,2025-11-13T19:58:18Z,C000020,AC00000021,1381,USD,INTERNAL,POS,PL,CP00000141,US,RETAIL_PREMIUM,LOW,False,False,0.2,3,4143,7,8539,4
T000000073,2025-11-30T09:39:28Z,C000025,AC00000018,1899,USD,SEPA_CREDIT,INTERNET,PL,CP00000056,GB,RETAIL_STANDARD,MEDIUM,False,False,0.11,1,1899,4,3186,4
T000000074,2025-11-20T15:30:58Z,C000022,AC00000016,26188,PLN,SEPA_CREDIT,BRANCH,PL,CP00000024,AE,SME,HIGH,False,False,0.77,0,43152,2,117272,1
T000000075,2025-12-06T11:49:55Z,C000010,AC00000020,5234,EUR,SEPA_CREDIT,INTERNET,PL,CP00000091,PL,RETAIL_STANDARD,HIGH,False,False,0.64,38,176038,90,606726,8
T000000076,2025-12-07T06:22:58Z,C000025,AC00000020,5488,USD,SEPA_CREDIT,INTERNET,PL,CP00000143,PL,RETAIL_STANDARD,MEDIUM,False,False,0.82,23,102441,50,420837,14
T000000077,2025-11-21T12:29:32Z,C000005,AC00000024,112794,USD,SWIFT_IN,BRANCH,PL,CP00000008,PL,SME,MEDIUM,False,False,0.81,1,176442,4,354885,6
T000000078,2025-11-11T19:51:57Z,C000015,AC00000022,1860,EUR,CARD_POS,INTERNET,PL,CP00000125,UA,RETAIL_PREMIUM,LOW,False,False,0.08,3,5580,5,7985,5
T000000079,2025-11-25T05:08:38Z,C000022,AC00000010,93554,PLN,SWIFT_IN,BRANCH,PL,CP00000057,GB,RETAIL_PREMIUM,MEDIUM,True,False,0.81,0,94632,2,276134,3
T000000080,2025-11-22T05:20:58Z,C000023,AC00000008,2786,USD,SEPA_CREDIT,MOBILE,PL,CP00000144,AE,RETAIL_PREMIUM,LOW,False,False,0.22,2,5572,2,9996,1
T000000081,2025-11-28T00:41:00Z,C000023,AC00000021,68088,EUR,SEPA_CREDIT,BRANCH,PL,CP00000075,PL,SME,HIGH,False,False,0.53,0,166767,1,450601,8
T000000082,2025-11-25T12:49:20Z,C000013,AC00000028,58655,EUR,SWIFT_IN,BRANCH,PL,CP00000087,DE,SME,MEDIUM,False,False,0.54,1,65375,1,150094,4
T000000083,2025-11-14T09:49:30Z,C000003,AC00000006,2359,USD,INTERNAL,POS,PL,CP00000127,GB,RETAIL_PREMIUM,MEDIUM,False,False,0.05,3,7077,8,20157,5
T000000084,2025-11-24T08:56:48Z,C000010,AC00000026,1491,EUR,CARD_POS,INTERNET,PL,CP00000152,PL,RETAIL_PREMIUM,LOW,False,False,0.16,0,1491,2,2867,1
T000000085,2025-11-12T08:21:02Z,C000020,AC00000017,1335,EUR,INTERNAL,BRANCH,PL,CP00000119,UA,SME,HIGH,False,False,0.74,40,64973,117,140607,10
T000000086,2025-11-23T13:43:38Z,C000026,AC00000029,1523,EUR,INTERNAL,BRANCH,PL,CP00000022,UA,SME,HIGH,False,False,0.93,15,20918,80,78464,8
T000000087,2025-12-03T22:16:42Z,C000022,AC00000020,1420,PLN,SEPA_CREDIT,INTERNET,PL,CP00000162,US,RETAIL_STANDARD,MEDIUM,False,False,0.03,0,1420,2,1688,4
T000000088,2025-12-08T22:41:43Z,C000010,AC00000021,31901,USD,SWIFT_OUT,INTERNET,PL,CP00000170,GB,RETAIL_PREMIUM,HIGH,True,False,0.57,0,46714,3,115161,6
T000000089,2025-11-20T03:39:48Z,C000007,AC00000008,805,PLN,CASH_IN,ATM,PL,CP00000040,PL,RETAIL_STANDARD,HIGH,False,False,0.57,37,36196,89,184002,9
T000000090,2025-12-02T08:42:17Z,C000026,AC00000029,1732,PLN,INTERNAL,INTERNET,PL,CP00000113,PL,RETAIL_PREMIUM,LOW,False,False,0.14,2,3464,7,8449,4
T000000091,2025-12-05T03:02:06Z,C000029,AC00000027,2386,PLN,INTERNAL,POS,PL,CP00000095,US,RETAIL_PREMIUM,LOW,False,False,0.21,3,7158,6,18173,4
T000000092,2025-11-13T19:03:40Z,C000002,AC00000021,1340,EUR,SEPA_CREDIT,INTERNET,PL,CP00000096,UA,RETAIL_STANDARD,HIGH,False,False,0.36,39,59600,67,134196,10
T000000093,2025-12-06T02:23:02Z,C000023,AC00000002,34899,EUR,SEPA_CREDIT,INTERNET,PL,CP00000014,GB,HNWI,HIGH,True,False,0.65,2,43127,3,105112,3
T000000094,2025-12-06T03:09:37Z,C000009,AC00000031,374,EUR,INTERNAL,POS,PL,CP00000158,PL,RETAIL_PREMIUM,LOW,False,False,0.2,0,374,2,535,2
T000000095,2025-11-12T11:41:50Z,C000016,AC00000027,307,USD,INTERNAL,POS,PL,CP00000160,GB,RETAIL_STANDARD,LOW,False,False,0.08,0,307,3,673,1
T000000096,2025-11-20T18:43:03Z,C000027,AC00000012,2194,USD,INTERNAL,POS,PL,CP00000172,PL,RETAIL_STANDARD,MEDIUM,False,False,0.22,2,4388,2,12755,5
T000000097,2025-11-21T23:33:01Z,C000017,AC00000002,1037,EUR,CARD_POS,MOBILE,PL,CP00000018,NL,RETAIL_PREMIUM,MEDIUM,False,False,0.21,0,1037,4,2561,3
T000000098,2025-12-04T02:52:31Z,C000031,AC00000012,1924,PLN,CARD_POS,INTERNET,PL,CP00000017,US,RETAIL_PREMIUM,MEDIUM,False,False,0.25,0,1924,2,2699,2
T000000099,2025-11-17T11:17:31Z,C000013,AC00000019,2735,EUR,SEPA_CREDIT,INTERNET,PL,CP00000013,AE,RETAIL_PREMIUM,MEDIUM,False,False,0.09,2,5470,4,6831,3
T000000100,2025-12-02T04:04:23Z,C000024,AC00000034,1788,EUR,INTERNAL,INTERNET,PL,CP00000022,US,RETAIL_PREMIUM,LOW,False,False,0.03,0,1788,3,3942,2
T000000101,2025-11-19T02:11:39Z,C000028,AC00000011,73606,USD,SWIFT_IN,INTERNET,PL,CP00000114,NL,SME,HIGH,False,False,0.84,0,153852,2,372672,7
T000000102,2025-12-09T11:05:33Z,C000010,AC00000029,45932,PLN,SEPA_CREDIT,BRANCH,PL,CP00000033,PL,RETAIL_PREMIUM,HIGH,False,False,0.44,2,70883,6,109767,3
T000000103,2025-11-21T00:27:03Z,C000021,AC00000018,812,PLN,CARD_POS,INTERNET,PL,CP00000030,PL,RETAIL_PREMIUM,MEDIUM,False,False,0.06,3,2436,7,4321,5
T000000104,2025-12-02T03:50:34Z,C000013,AC00000008,37630,PLN,SEPA_CREDIT,BRANCH,PL,CP00000019,GB,RETAIL_PREMIUM,MEDIUM,False,False,0.91,3,93920,5,234965,2
T000000105,2025-12-04T23:07:13Z,C000033,AC00000015,33202,PLN,SWIFT_IN,INTERNET,PL,CP00000052,AE,SME,MEDIUM,False,False,0.95,1,72564,1,148128,6
T000000106,2025-11-26T00:54:55Z,C000027,AC00000005,1107,PLN,CARD_POS,MOBILE,PL,CP00000082,US,RETAIL_STANDARD,HIGH,False,False,0.6,34,37123,77,112614,22
T000000107,2025-12-05T14:28:46Z,C000034,AC00000010,23145,EUR,SEPA_CREDIT,INTERNET,PL,CP00000043,DE,HNWI,HIGH,True,False,0.84,5,28363,13,106001,4
T000000108,2025-11-12T04:15:25Z,C000011,AC00000010,109454,PLN,SWIFT_OUT,INTERNET,PL,CP00000169,UA,RETAIL_PREMIUM,MEDIUM,False,False,0.63,2,247781,6,386982,1
T000000109,2025-11-25T08:47:35Z,C000035,AC00000019,47096,USD,SWIFT_IN,BRANCH,PL,CP00000078,GB,RETAIL_PREMIUM,HIGH,False,False,0.73,3,68107,3,172509,3
T000000110,2025-12-01T21:35:05Z,C000023,AC00000026,2159,PLN,SEPA_CREDIT,INTERNET,PL,CP00000195,NL,RETAIL_STANDARD,LOW,False,False,0.03,0,2159,2,3202,1
T000000111,2025-11-22T08:21:50Z,C000027,AC00000016,2416,PLN,INTERNAL,INTERNET,PL,CP00000209,NL,RETAIL_PREMIUM,MEDIUM,False,False,0.13,2,4832,3,12206,4
T000000112,2025-11-22T04:21:41Z,C000030,AC00000016,249,PLN,SEPA_CREDIT,POS,PL,CP00000150,NL,RETAIL_STANDARD,LOW,False,False,0.11,0,249,2,495,4
T000000113,2025-12-02T23:16:35Z,C000026,AC00000024,39373,PLN,SEPA_CREDIT,BRANCH,PL,CP00000103,PL,RETAIL_PREMIUM,HIGH,True,False,0.97,4,47037,12,104492,9
T000000114,2025-12-04T22:18:16Z,C000036,AC00000024,2135,PLN,CARD_POS,POS,PL,CP00000051,UA,RETAIL_PREMIUM,MEDIUM,False,False,0.13,3,6405,7,6920,1
T000000115,2025-12-08T04:43:40Z,C000009,AC00000021,1659,USD,INTERNAL,INTERNET,PL,CP00000082,DE,RETAIL_PREMIUM,MEDIUM,False,False,0.21,2,3318,6,5550,5
T000000116,2025-11-30T13:56:58Z,C000027,AC00000038,2868,EUR,INTERNAL,MOBILE,PL,CP00000204,US,RETAIL_STANDARD,MEDIUM,False,False,0.05,0,2868,4,5590,5
T000000117,2025-11-28T23:48:04Z,C000010,AC00000016,29404,PLN,SEPA_CREDIT,INTERNET,PL,CP00000147,US,RETAIL_PREMIUM,HIGH,False,False,0.8,1,30239,3,64353,7
T000000118,2025-11-14T04:50:36Z,C000014,AC00000036,2202,EUR,INTERNAL,INTERNET,PL,CP00000170,GB,RETAIL_PREMIUM,MEDIUM,False,False,0.16,3,6606,5,19245,4
T000000119,2025-11-16T20:07:01Z,C000036,AC00000020,1233,PLN,SEPA_CREDIT,INTERNET,PL,CP00000077,AE,RETAIL_PREMIUM,MEDIUM,False,False,0.04,1,1233,6,2971,3
T000000120,2025-11-22T00:19:24Z,C000023,AC00000010,108603,EUR,SWIFT_OUT,INTERNET,PL,CP00000011,NL,RETAIL_PREMIUM,HIGH,False,False,0.74,0,165027,3,409920,8
T000000121,2025-11-16T11:48:25Z,C000034,AC00000015,28133,USD,SWIFT_OUT,INTERNET,PL,CP00000060,PL,RETAIL_PREMIUM,HIGH,False,False,0.51,3,42071,6,69451,3
T000000122,2025-11-19T20:21:01Z,C000004,AC00000006,1295,USD,CASH_OUT,BRANCH,PL,CP00000147,DE,RETAIL_STANDARD,HIGH,False,False,0.87,33,50822,112,109226,3
T000000123,2025-12-02T20:29:53Z,C000003,AC00000001,489,EUR,INTERNAL,INTERNET,PL,CP00000146,UA,RETAIL_STANDARD,MEDIUM,False,False,0.08,2,978,4,1866,5
T000000124,2025-11-19T15:52:30Z,C000030,AC00000042,615,EUR,INTERNAL,INTERNET,PL,CP00000184,DE,RETAIL_PREMIUM,HIGH,False,False,0.35,27,18536,73,74574,11
T000000125,2025-11-14T15:04:42Z,C000031,AC00000021,65275,PLN,SEPA_CREDIT,INTERNET,PL,CP00000002,NL,RETAIL_PREMIUM,HIGH,False,False,0.43,1,109015,3,319528,5
T000000126,2025-11-18T15:46:26Z,C000026,AC00000033,2877,USD,SEPA_CREDIT,POS,PL,CP00000198,NL,RETAIL_STANDARD,LOW,False,False,0.24,0,2877,5,8148,3
T000000127,2025-11-24T08:00:47Z,C000024,AC00000027,2251,USD,CARD_POS,POS,PL,CP00000141,GB,RETAIL_PREMIUM,MEDIUM,False,False,0.03,1,2251,2,5313,5
T000000128,2025-11-11T05:53:53Z,C000033,AC00000013,58007,USD,SWIFT_OUT,BRANCH,PL,CP00000077,DE,SME,HIGH,False,False,0.63,3,68121,4,175437,8
T000000129,2025-11-27T02:47:36Z,C000044,AC00000020,48352,USD,SWIFT_IN,INTERNET,PL,CP00000012,GB,SME,MEDIUM,False,False,0.66,0,102443,4,164886,7
T000000130,2025-11-14T14:53:22Z,C000042,AC00000042,1887,EUR,CARD_POS,POS,PL,CP00000192,GB,RETAIL_PREMIUM,LOW,False,False,0.05,3,5661,6,6569,5
T000000131,2025-11-25T14:35:43Z,C000015,AC00000001,2808,PLN,CARD_POS,INTERNET,PL,CP00000153,GB,RETAIL_PREMIUM,LOW,False,False,0.08,3,8424,7,14814,2
T000000132,2025-12-02T14:04:02Z,C000003,AC00000043,15505,EUR,SWIFT_OUT,INTERNET,PL,CP00000009,DE,RETAIL_PREMIUM,HIGH,True,False,0.77,0,17069,0,44654,13
T000000133,2025-12-03T12:00:50Z,C000009,AC00000033,2409,EUR,CARD_POS,INTERNET,PL,CP00000120,AE,RETAIL_STANDARD,LOW,False,False,0.11,2,4818,6,10579,3
T000000134,2025-11-27T07:30:02Z,C000012,AC00000041,2080,USD,INTERNAL,INTERNET,PL,CP00000219,UA,RETAIL_PREMIUM,MEDIUM,False,False,0.05,0,2080,2,5996,4
T000000135,2025-12-04T05:32:39Z,C000031,AC00000016,2948,PLN,SEPA_CREDIT,INTERNET,PL,CP00000154,AE,RETAIL_STANDARD,MEDIUM,False,False,0.07,1,2948,4,8341,5
T000000136,2025-11-29T12:50:15Z,C000029,AC00000024,1149,PLN,CARD_POS,MOBILE,PL,CP00000098,PL,RETAIL_STANDARD,MEDIUM,False,False,0.06,3,3447,8,7617,1
T000000137,2025-11-18T10:31:01Z,C000014,AC00000013,33386,USD,SEPA_CREDIT,BRANCH,PL,CP00000061,US,HNWI,HIGH,True,False,0.8,1,56610,4,141048,6
T000000138,2025-11-17T23:03:11Z,C000033,AC00000032,1973,EUR,CARD_POS,POS,PL,CP00000051,AE,RETAIL_STANDARD,LOW,False,False,0.01,2,3946,3,6871,4
